Rank,Company,Employees,Location,Turnover £m,Pre-tax Profit £m,EBITDA £m,Year End
1,ROCKSTAR GAMES UK LIMITED,"1,744",London,  508.9,  26.9,  27.2,Mar 25
2,SMART METERING SYSTEMS LIMITED,"1,114",Glasgow,  199.4, (7.4),  20.6,Dec 24
3,CRANEWARE PLC,765,Edinburgh,  150.0,  17.5,  43.4,Jun 25
4,IOMART GROUP PLC,584,Glasgow,  143.5, (53.2), (20.4),Mar 25
5,FES LIMITED,-,Stirling,  133.9,  0.4, (0.3),Aug 25
6,NEOS NETWORKS LIMITED,466,Perth,  128.8, (70.7), (36.1),Mar 25
7,FLEXITRICITY LIMITED,75,Aberdeen,  97.1, (5.8), (4.1),Mar 25
8,ASHTEAD TECHNOLOGY LIMITED,243,Westhill,  75.2,  17.4,  34.1,Dec 24
9,SIMPLE ONLINE HOLDINGS LTD,107,Glasgow,  66.4, (0.4),  0.2,Feb 25
10,CHEMRING ENERGETICS UK LIMITED,372,Stevenston,  60.7,  13.1,  14.7,Oct 25
11,THE ORIGINAL FIT FACTORY LTD,488,Glasgow,  59.5, (24.3), (10.8),Dec 23
12,PROSOURCE.IT (UK) LTD.,376,Aberdeen,  53.5,  8.3,  8.2,Jun 25
13,METROL TECHNOLOGY LIMITED,252,Aberdeen,  50.7,  32.9,  8.4,Jun 25
14,SYSTAL TECHNOLOGY SOLUTIONS LIMITED,274,Glasgow,  43.9, (0.5),  1.2,Dec 24
15,IDEAGEN GAEL LIMITED,1,Glasgow,  43.0,  2.0,  2.0,Apr 25
16,BEEKS FINANCIAL CLOUD GROUP PLC,102,Renfrew,  35.9,  2.8,  11.0,Jun 25
17,FUTURE  TECHNOLOGY DEVICES INTERNATIONAL LIMITED,48,Glasgow,  34.8,  20.4,  20.3,Dec 24
18,FREEAGENT CENTRAL LTD,293,Edinburgh,  29.0,  2.5,  7.8,Dec 24
19,GAEL FORCE GROUP LIMITED,166,Inverness,  27.1,  1.5,  2.6,Dec 24
20,KICK ICT GROUP LIMITED,165,Bellshill,  27.0,  1.8,  4.3,Sep 25
21,ALPHA DATA PARALLEL SYSTEMS (HOLDINGS) LIMITED,38,Edinburgh,  26.9,  10.0,  9.9,Nov 24
22,FRONTROW ENERGY TECHNOLOGY GROUP LIMITED,178,Aberdeen,  26.5, (4.0),  2.4,Dec 24
23,INTEGRATED ENVIRONMENTAL SOLUTIONS LIMITED,296,Glasgow,  26.1,  1.9,  2.2,May 25
24,SUBSEA TECHNOLOGY & RENTALS LIMITED,81,Aberdeen,  24.3,  15.1,  22.3,Dec 24
25,DACOLL HOLDINGS LIMITED,166,Livingston,  24.1, (0.3),  0.3,Mar 25
26,STAFFSCANNER LTD,69,Glasgow,  22.3,  0.7,  0.9,Mar 25
27,QUORUM CYBER SECURITY LIMITED,238,Edinburgh,  22.1, (6.4), (2.0),May 25
28,API SOFTWARE LIMITED,161,Glasgow,  20.9, (1.5), (1.0),Jan 25
29,ORIGO SERVICES LIMITED,83,Edinburgh,  20.8,  11.9,  8.5,Dec 24
30,CALNEX SOLUTIONS PLC,162,Linlithgow,  18.4,  0.7,  5.2,Mar 25
31,WARACLE HOLDING COMPANY LIMITED,134,Dundee,  17.4, (0.3),  0.4,Dec 24
32,ROTECH INTERNATIONAL LIMITED,76,Aberdeen,  17.3,  2.7,  4.9,Dec 24
33,MALIN GROUP LIMITED,23,Glasgow,  16.5,  0.5,  0.7,Sep 24
34,APOLLO ENGINEERING CONSULTANTS LIMITED,66,Aberdeen,  15.4,  1.3,  1.4,Mar 25
35,JWF GROUP HOLDINGS LIMITED,43,Glasgow,  14.9,  1.0,  1.2,Dec 24
36,QUORUM NETWORK RESOURCES LTD.,130,Edinburgh,  13.9, (0.3), (0.2),May 25
37,ENCOMPASS CORPORATION UK LIMITED,90,Glasgow,  13.4, (16.4), (16.3),Dec 24
38,SUPERSONIC SOFTWARE LIMITED,21,Dumfries,  13.3,  3.5,  3.5,Dec 24
39,STORM IDEAS LIMITED,151,Edinburgh,  12.7,  2.8,  3.0,Jun 25
40,DUFRAIN CONSULTING LTD,157,Edinburgh,  12.6, (1.4), (1.3),May 24
41,TECHNICAL RETAIL SERVICES LTD,63,Glasgow,  12.1,  0.3,  0.3,Mar 25
42,THINKANALYTICS LTD.,100,Glasgow,  11.8, (1.8), (1.3),Dec 24
43,EDGE TESTING SOLUTIONS LIMITED,118,Glasgow,  11.8, (0.4), (0.3),Dec 24
44,CODEBASE LTD,96,Edinburgh,  11.7,  1.1,  1.4,Mar 25
45,VERACITY UK LIMITED,46,Prestwick,  11.5,  1.3,  1.7,Dec 24
46,BRIGHTSOLID ONLINE TECHNOLOGY LIMITED,60,Dundee,  11.4, (1.4), (0.2),Mar 25
47,CITY FACILITIES MANAGEMENT SYSTEM SOLUTIONS LIMITED,-,Glasgow,  9.6,  0.3,  5.8,Dec 24
48,KELTON ENGINEERING LIMITED,36,Aberdeen,  9.2,  1.5,  1.6,Dec 24
